trade_date,ts_code,close,open,high,low,pre_close,change,pct_chg,vol,amount,WeekMa10,WeekMa60,Week60-10,Week10-60
20200717,603139.SH,18.8263,19.9121,21.0177,18.6669,19.8623,-1.0360000000000014,-5.2159,8013906.0,161294854.0,18.380619999999986,17.104826666666657,-1.2757933333333291,1.2757933333333291
20200710,603139.SH,19.8543,19.5668,20.4986,19.2893,19.3785,0.47579999999999956,2.4553,9208148.0,185130256.0,18.187039999999985,17.06012499999999,-1.1269149999999968,1.1269149999999968
20200703,603139.SH,19.3785,19.1604,19.5966,18.7739,19.1505,0.22799999999999798,1.1906,6105298.0,118259335.0,17.877779999999984,17.00452499999999,-0.8732549999999932,0.8732549999999932
20200624,603139.SH,19.1505,18.9126,20.003,18.9126,18.8928,0.2576999999999998,1.364,5980918.0,117515403.0,17.612129999999986,16.961941666666657,-0.6501883333333289,0.6501883333333289
20200619,603139.SH,18.8928,18.3873,21.1925,18.3873,18.3575,0.5352999999999994,2.916,20489310.0,407863517.0,17.476329999999983,16.932838333333326,-0.5434916666666574,0.5434916666666574
20200612,603139.SH,18.3575,17.8818,18.4567,17.5348,17.8421,0.5154000000000032,2.8887,5416971.0,98844426.0,17.312779999999986,16.93181999999999,-0.38095999999999464,0.38095999999999464
20200605,603139.SH,17.8421,17.5447,17.9809,17.3168,17.515,0.32709999999999795,1.8675,4697442.0,83619250.0,17.158149999999985,16.935784999999992,-0.22236499999999282,0.22236499999999282
20200529,603139.SH,17.515,16.9302,17.6934,16.9302,17.059,0.4559999999999995,2.6731,3942788.0,69057177.0,17.118499999999983,16.947683333333323,-0.17081666666665996,0.17081666666665996
20200522,603139.SH,17.059,16.8806,17.5249,16.8509,16.9302,0.1288000000000018,0.7608,3781575.0,65158903.0,17.133369999999985,16.954698333333322,-0.1786716666666628,0.1786716666666628
20200515,603139.SH,16.9302,16.9004,17.1482,16.8509,16.8905,0.039699999999999847,0.235,2974740.0,50932030.0,17.115529999999985,16.972266666666652,-0.14326333333333352,0.14326333333333352
20200508,603139.SH,16.8905,16.6328,17.0491,16.5436,16.7617,0.12879999999999825,0.7684,2067642.0,35177747.0,17.192839999999986,16.97885499999999,-0.21398499999999743,0.21398499999999743
20200430,603139.SH,16.7617,16.7418,16.8905,15.6614,16.722,0.039699999999999847,0.2374,3735565.0,62508972.0,17.18292999999999,16.982496666666655,-0.2004333333333328,0.2004333333333328
20200424,603139.SH,16.722,17.8917,18.7144,16.6824,17.7925,-1.0704999999999991,-6.0166,15168614.0,272190578.0,17.27708999999999,16.98467499999999,-0.29241500000000187,0.29241500000000187
20200417,603139.SH,17.7925,17.2077,18.2882,17.059,17.2573,0.5351999999999997,3.1013,10692959.0,191497584.0,17.30583999999999,16.96913999999999,-0.33670000000000044,0.33670000000000044
20200410,603139.SH,17.2573,16.9401,17.8025,16.8211,16.8112,0.4461000000000013,2.6536,4926176.0,85976712.0,17.323689999999992,16.92657499999999,-0.397115000000003,0.397115000000003
20200403,603139.SH,16.8112,17.3663,17.4258,16.3751,17.4456,-0.6343999999999994,-3.6364,4398167.0,74270718.0,17.300889999999992,16.88045999999999,-0.4204300000000032,0.4204300000000032
20200327,603139.SH,17.4456,17.6934,17.9313,16.9302,17.6637,-0.21809999999999974,-1.2347,8817217.0,156294701.0,17.32864999999999,16.855069999999987,-0.4735800000000019,0.4735800000000019
20200320,603139.SH,17.6637,17.1284,17.8223,16.157,16.8806,0.7830999999999975,4.6391,7852143.0,135366159.0,17.30882999999999,16.823208333333323,-0.48562166666666684,0.48562166666666684
20200313,603139.SH,16.8806,17.7331,17.9016,16.4048,17.7033,-0.8226999999999975,-4.6472,5503026.0,95755537.0,17.257279999999987,16.787711666666656,-0.46956833333333137,0.46956833333333137
20200306,603139.SH,17.7033,16.8211,17.9908,16.8112,16.7914,0.9118999999999993,5.4308,5312594.0,93816194.0,17.23249999999999,16.76132999999999,-0.47117000000000075,0.47117000000000075
20200228,603139.SH,16.7914,17.6934,18.6648,16.7914,17.7033,-0.9118999999999993,-5.151,9519978.0,172352645.0,17.125449999999994,16.719431666666654,-0.40601833333333914,0.40601833333333914
20200221,603139.SH,17.7033,17.0491,18.0503,17.0491,17.0095,0.6937999999999995,4.0789,8880115.0,158675324.0,17.069939999999992,16.69223833333332,-0.3777016666666704,0.3777016666666704
20200214,603139.SH,17.0095,18.0404,18.0998,16.8509,17.971,-0.9615000000000009,-5.3503,5904364.0,102413308.0,16.948019999999993,16.64951999999999,-0.2985000000000042,0.2985000000000042
20200207,603139.SH,17.971,15.5028,18.7937,15.5028,17.0293,0.9417000000000009,5.5299,12659204.0,219494603.0,16.854839999999992,16.62525499999999,-0.2295850000000037,0.2295850000000037
